idtbt_ps_100 Cycle01			idtbt_ps_80 Cycle01						idtbt_ps_60 Cycle01		
nm	A		nm	A					nm	A	
567	0.04596802		567	0.00903248	0.03335342	0.0651281			567	0.0313325	0.03239688
568	0.04550354		568	0.00936987	0.03369081	0.06578691			568	0.03118733	0.03225171
569	0.04534561		569	0.00904476	0.0333657	0.065152078			569	0.03149735	0.03256173
570	0.04647573		570	0.00967482	0.03399576	0.066382375			570	0.03249114	0.03355552
571	0.04711937		571	0.00948828	0.03380922	0.066018125			571	0.03173789	0.03280227
572	0.04808161		572	0.01004119	0.03436213	0.067097774			572	0.03218245	0.03324683
573	0.04827638		573	0.01032758	0.03464852	0.067656998			573	0.03220304	0.03326742
574	0.04840148		574	0.01011247	0.03443341	0.06723696			574	0.03297812	0.0340425
575	0.04929634		575	0.01035231	0.03467325	0.067705287			575	0.0332281	0.03429248
576	0.0486644		576	0.01011671	0.03443765	0.067245239			576	0.03322875	0.03429313
577	0.04912667		577	0.01083515	0.03515609	0.068648113			577	0.03206354	0.03312792
578	0.04825883		578	0.01134545	0.03566639	0.069644558			578	0.03310619	0.03417057
579	0.04951928		579	0.0108962	0.03521714	0.068767323			579	0.03277365	0.03383803
580	0.05027156		580	0.01145373	0.03577467	0.069855993			580	0.0333941	0.03445848
581	0.04921239		581	0.01117377	0.03549471	0.069309325			581	0.0317225	0.03278688
582	0.05086475		582	0.01227447	0.03659541	0.071458624			582	0.03158703	0.03265141
583	0.05028812		583	0.01162335	0.03594429	0.070187204			583	0.03197272	0.0330371
584	0.05098628		584	0.01232185	0.03664279	0.071551142			584	0.03299606	0.03406044
585	0.05099053		585	0.01187036	0.0361913	0.070669532			585	0.03348518	0.03454956
586	0.05307953		586	0.01258778	0.03690872	0.072070414			586	0.0332711	0.03433548
587	0.05192091		587	0.0118028	0.03612374	0.07053761			587	0.03361411	0.03467849
588	0.0528951		588	0.01270206	0.037023	0.072293565			588	0.03359338	0.03465776
589	0.05548491		589	0.01292023	0.03724117	0.072719578			589	0.03392665	0.03499103
590	0.05516821		590	0.01293682	0.03725776	0.072751973			590	0.03442327	0.03548765
591	0.05603453		591	0.01272328	0.03704422	0.072335001			591	0.03397671	0.03504109
592	0.0567255		592	0.01325894	0.03757988	0.073380966			592	0.03491037	0.03597475
593	0.05746337		593	0.013264	0.03758494	0.073390846			593	0.03504365	0.03610803
594	0.05851654		594	0.01329505	0.03761599	0.073451477			594	0.03557708	0.03664146
595	0.05884605		595	0.01317085	0.03749179	0.073208955			595	0.03593617	0.03700055
596	0.06078714		596	0.01354739	0.03786833	0.073944212			596	0.03543321	0.03649759
597	0.06008766		597	0.01374458	0.03806552	0.074329259			597	0.03746648	0.03853086
598	0.06113962		598	0.01368914	0.03801008	0.074221003			598	0.03630035	0.03736473
599	0.06169683		599	0.01388328	0.03820422	0.074600093			599	0.03652958	0.03759396
600	0.06231124		600	0.01411967	0.03844061	0.075061684			600	0.03584753	0.03691191
601	0.06334361		601	0.01438386	0.0387048	0.075577559			601	0.03581061	0.03687499
602	0.06427351		602	0.01474284	0.03906378	0.076278527			602	0.03718513	0.03824951
603	0.06511301		603	0.01430184	0.03862278	0.075417401			603	0.03746056	0.03852494
604	0.06679466		604	0.01446966	0.0387906	0.075745098			604	0.03623605	0.03730043
605	0.06770081		605	0.01460763	0.03892857	0.076014507			605	0.03748082	0.0385452
606	0.06895615		606	0.01469794	0.03901888	0.076190853			606	0.03808761	0.03915199
607	0.06808795		607	0.01466884	0.03898978	0.07613403			607	0.03787237	0.03893675
608	0.06893506		608	0.01474973	0.03907067	0.076291981			608	0.03757634	0.03864072
609	0.07065713		609	0.01557492	0.03989586	0.077903302			609	0.03774921	0.03881359
610	0.07128342		610	0.01525505	0.03957599	0.077278703			610	0.03879402	0.0398584
611	0.07172016		611	0.01484507	0.03916601	0.076478148			611	0.03763433	0.03869871
612	0.07060018		612	0.01465681	0.03897775	0.076110539			612	0.03761427	0.03867865
613	0.0721785		613	0.01528419	0.03960513	0.077335603			613	0.03688604	0.03795042
614	0.07242086		614	0.01510672	0.03942766	0.076989064			614	0.03722286	0.03828724
615	0.0728968		615	0.01532963	0.03965057	0.077424332			615	0.03745269	0.03851707
616	0.07353453		616	0.01542218	0.03974312	0.077605052			616	0.03653953	0.03760391
617	0.07313976		617	0.01576673	0.04008767	0.078277843			617	0.0373364	0.03840078
618	0.07310118		618	0.0149987	0.03931964	0.076778137			618	0.03678765	0.03785203
